Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-01,2006,1,1,,,M,,M,,M,,M,,M,,M,,M,,M,14,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-02,2006,1,2,,,M,,M,,M,,M,,M,,M,,M,,M,14,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-03,2006,1,3,,,M,,M,,M,,M,,M,,M,,M,,M,13,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-04,2006,1,4,,,M,,M,,M,,M,,M,,M,,M,,M,14,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-05,2006,1,5,,,M,,M,,M,,M,,M,,M,,M,,M,18,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-06,2006,1,6,,,M,,M,,M,,M,,M,,M,,M,,M,21,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-07,2006,1,7,,,M,,M,,M,,M,,M,,M,,M,,M,21,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-08,2006,1,8,,,M,,M,,M,,M,,M,,M,,M,,M,21,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-09,2006,1,9,,,M,,M,,M,,M,,M,,M,,M,,M,23,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-10,2006,1,10,,,M,,M,,M,,M,,M,,M,,M,,M,27,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-11,2006,1,11,,,M,,M,,M,,M,,M,,M,,M,,M,26,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-12,2006,1,12,,,M,,M,,M,,M,,M,,M,,M,,M,20,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-13,2006,1,13,,,M,,M,,M,,M,,M,,M,,M,,M,14,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-14,2006,1,14,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-15,2006,1,15,,,M,,M,,M,,M,,M,,M,,M,,M,9,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-16,2006,1,16,,,M,,M,,M,,M,,M,,M,,M,,M,9,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-17,2006,1,17,,,M,,M,,M,,M,,M,,M,,M,,M,9,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-18,2006,1,18,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-19,2006,1,19,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-20,2006,1,20,,,M,,M,,M,,M,,M,,M,,M,,M,9,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-21,2006,1,21,,,M,,M,,M,,M,,M,,M,,M,,M,9,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-22,2006,1,22,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-23,2006,1,23,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-24,2006,1,24,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-25,2006,1,25,,,M,,M,,M,,M,,M,,M,,M,,M,16,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-26,2006,1,26,,,M,,M,,M,,M,,M,,M,,M,,M,23,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-27,2006,1,27,,,M,,M,,M,,M,,M,,M,,M,,M,18,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-28,2006,1,28,,,M,,M,,M,,M,,M,,M,,M,,M,16,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-29,2006,1,29,,,M,,M,,M,,M,,M,,M,,M,,M,13,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-30,2006,1,30,,,M,,M,,M,,M,,M,,M,,M,,M,17,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-01-31,2006,1,31,,,M,,M,,M,,M,,M,,M,,M,,M,17,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-01,2006,2,1,,,M,,M,,M,,M,,M,,M,,M,,M,18,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-02,2006,2,2,,,M,,M,,M,,M,,M,,M,,M,,M,18,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-03,2006,2,3,,,M,,M,,M,,M,,M,,M,,M,,M,16,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-04,2006,2,4,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-05,2006,2,5,,,M,,M,,M,,M,,M,,M,,M,,M,9,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-06,2006,2,6,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-07,2006,2,7,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-08,2006,2,8,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-09,2006,2,9,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-10,2006,2,10,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-11,2006,2,11,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-12,2006,2,12,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-13,2006,2,13,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-14,2006,2,14,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-15,2006,2,15,,,M,,M,,M,,M,,M,,M,,M,,M,13,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-16,2006,2,16,,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-17,2006,2,17,,,M,,M,,M,,M,,M,,M,,M,,M,17,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-18,2006,2,18,,,M,,M,,M,,M,,M,,M,,M,,M,13,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-19,2006,2,19,,,M,,M,,M,,M,,M,,M,,M,,M,12,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-20,2006,2,20,,,M,,M,,M,,M,,M,,M,,M,,M,12,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-21,2006,2,21,,,M,,M,,M,,M,,M,,M,,M,,M,12,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-22,2006,2,22,,,M,,M,,M,,M,,M,,M,,M,,M,14,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-23,2006,2,23,,,M,,M,,M,,M,,M,,M,,M,,M,17,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-24,2006,2,24,,,M,,M,,M,,M,,M,,M,,M,,M,19,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-25,2006,2,25,,,M,,M,,M,,M,,M,,M,,M,,M,12,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-26,2006,2,26,,,M,,M,,M,,M,,M,,M,,M,,M,12,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-27,2006,2,27,,,M,,M,,M,,M,,M,,M,,M,,M,12,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-02-28,2006,2,28,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-01,2006,3,1,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-02,2006,3,2,,,M,,M,,M,,M,,M,,M,,M,,M,12,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-03,2006,3,3,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-04,2006,3,4,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-05,2006,3,5,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-06,2006,3,6,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-07,2006,3,7,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-08,2006,3,8,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-09,2006,3,9,,,M,,M,,M,,M,,M,,M,,M,,M,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-10,2006,3,10,,,M,,M,,M,,M,,M,,M,,M,,M,10,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-11,2006,3,11,,,M,,M,,M,,M,,M,,M,,M,,M,7,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-12,2006,3,12,,,M,,M,,M,,M,,M,,M,,M,,M,5,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-13,2006,3,13,,,M,,M,,M,,M,,M,,M,,M,,M,5,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-14,2006,3,14,,,M,,M,,M,,M,,M,,M,,M,,M,4,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-15,2006,3,15,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-16,2006,3,16,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-17,2006,3,17,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-18,2006,3,18,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-19,2006,3,19,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-20,2006,3,20,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-21,2006,3,21,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-22,2006,3,22,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-23,2006,3,23,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-24,2006,3,24,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-25,2006,3,25,,,M,,M,,M,,M,,M,,M,,M,,M,4,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-26,2006,3,26,,,M,,M,,M,,M,,M,,M,,M,,M,4,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-27,2006,3,27,,,M,,M,,M,,M,,M,,M,,M,,M,4,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-28,2006,3,28,,,M,,M,,M,,M,,M,,M,,M,,M,4,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-29,2006,3,29,,,M,,M,,M,,M,,M,,M,,M,,M,3,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-30,2006,3,30,,,M,,M,,M,,M,,M,,M,,M,,M,3,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-03-31,2006,3,31,,,M,,M,,M,,M,,M,,M,,M,,M,3,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-01,2006,4,1,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-02,2006,4,2,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-03,2006,4,3,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-04,2006,4,4,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-05,2006,4,5,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-06,2006,4,6,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-07,2006,4,7,,,M,,M,,M,,M,,M,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-08,2006,4,8,,,M,,M,,M,,M,,M,,M,,M,,M,1,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-09,2006,4,9,,,M,,M,,M,,M,,M,,M,,M,,M,1,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-10,2006,4,10,,,M,,M,,M,,M,,M,,M,,M,,M,1,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-11,2006,4,11,,,M,,M,,M,,M,,M,,M,,M,,M,1,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-12,2006,4,12,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2006-04-13,2006,4,13,,14.4,,1.9,,8.2,,9.8,,0,,,M,,M,1.2,,,,24,,54,
