Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-01,2007,1,1,,6.1,,-2.2,,2,,16,,0,,,M,,M,11.4,,6,,12,,56,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-02,2007,1,2,,4.2,,-2.5,,0.9,,17.1,,0,,,M,,M,0,,1,,31,,54,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-03,2007,1,3,,6,,0.1,,3.1,,14.9,,0,,,M,,M,0,,1,,24,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-04,2007,1,4,,9.8,,0.7,,5.3,,12.7,,0,,,M,,M,0,,,,23,,41,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-05,2007,1,5,,9.9,,4.5,,7.2,,10.8,,0,,,M,,M,15,,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-06,2007,1,6,,11.2,,2.9,,7.1,,10.9,,0,,,M,,M,8.9,,2,,24,,72,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-07,2007,1,7,,4.6,,0.6,,2.6,,15.4,,0,,,M,,M,1.6,,,,26,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-08,2007,1,8,,6.1,,0.5,,3.3,,14.7,,0,,,M,,M,12.6,,1,,23,,57,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-09,2007,1,9,,1.8,,-4.6,,-1.4,,19.4,,0,,,M,,M,0,,,,26,,46,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-10,2007,1,10,,-4.6,,-12.4,,-8.5,,26.5,,0,,,M,,M,0,,,,28,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-11,2007,1,11,,0.7,,-12.6,,-6,,24,,0,,,M,,M,1,,,,15,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-12,2007,1,12,,4.7,,0.6,,2.7,,15.3,,0,,,M,,M,4.1,,,,25,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-13,2007,1,13,,4.3,,-8.9,,-2.3,,20.3,,0,,,M,,M,1,,,,2,,48,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-14,2007,1,14,,-3.3,,-9,,-6.2,,24.2,,0,,,M,,M,0,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-15,2007,1,15,,-5.4,,-9.8,,-7.6,,25.6,,0,,0,,,M,15.6,,,,2,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-16,2007,1,16,,-9.3,,-21.8,,-15.6,,33.6,,0,,,M,,M,0,,15,,32,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-17,2007,1,17,,-12.1,,-24.1,,-18.1,,36.1,,0,,,M,,M,0,,9,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-18,2007,1,18,,-2.7,,-12.9,,-7.8,,25.8,,0,,,M,,M,1,,9,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-19,2007,1,19,,-1.1,,-4.4,,-2.8,,20.8,,0,,0,,,M,1.2,,9,,29,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-20,2007,1,20,,-4,,-16.7,,-10.4,,28.4,,0,,,M,,M,0,,9,,28,,56,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-21,2007,1,21,,-11.7,,-19.2,,-15.5,,33.5,,0,,,M,,M,0,,8,,28,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-22,2007,1,22,,-8.7,E,-14,E,-11.4,E,29.4,E,0,E,,M,,M,1,E,8,,,M,,M
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2007-01-23,2007,1,23,,-1.9,,-12.9,,-7.4,,25.4,,0,,,M,,M,0,,9,,,,<31,
