Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-01,2013,1,1,,-1.2,,-16.5,,-8.9,,26.9,,0,,,M,,M,0.2,,32,,29,,54,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-02,2013,1,2,,-13.8,,-22.9,,-18.4,,36.4,,0,,,M,,M,0.6,,31,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-03,2013,1,3,,-12.9,,-23.1,,-18,,36,,0,,0,,,M,0.8,,31,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-04,2013,1,4,,0.5,,-15.1,,-7.3,,25.3,,0,,,M,,M,0.5,,33,,24,,56,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-05,2013,1,5,,0.6,,-12.7,,-6.1,,24.1,,0,,,M,,M,0,,30,,32,,56,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-06,2013,1,6,,-6.9,,-10.5,,-8.7,,26.7,,0,,,M,,M,5,,30,,3,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-07,2013,1,7,,-6,,-13.6,,-9.8,,27.8,,0,,,M,,M,0,,30,,18,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-08,2013,1,8,,1.8,,-10.7,,-4.5,,22.5,,0,,,M,,M,0,,29,,24,,41,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-09,2013,1,9,,5.5,,-6.2,,-0.4,,18.4,,0,,,M,,M,0.4,,28,,27,,56,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-10,2013,1,10,,3,,-2.5,,0.3,,17.7,,0,,,M,,M,0,,25,,26,,48,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-11,2013,1,11,,2.9,,-2.9,,0,,18,,0,,,M,,M,0.2,,25,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-12,2013,1,12,,5.3,,1.5,,3.4,,14.6,,0,,,M,,M,0.4,,23,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-13,2013,1,13,,5.6,,1.9,,3.8,,14.2,,0,,,M,,M,4.4,,18,,15,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-14,2013,1,14,,6.2,,-0.3,,3,,15,,0,,,M,,M,1.3,,8,,29,,54,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-15,2013,1,15,,0,,-3.2,,-1.6,,19.6,,0,,,M,,M,0,,7,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-16,2013,1,16,,1.9,,-3.4,,-0.8,,18.8,,0,,,M,,M,0,,8,,24,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-17,2013,1,17,,1.7,,-18.9,,-8.6,,26.6,,0,,,M,,M,0.8,,7,,30,,56,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-18,2013,1,18,,-7,,-21.4,,-14.2,,32.2,,0,,,M,,M,0,,7,,27,,41,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-19,2013,1,19,,1.1,,-7.5,,-3.2,,21.2,,0,,0,,,M,11.6,,14,,16,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-20,2013,1,20,,6.6,,-15.7,,-4.6,,22.6,,0,,,M,,M,4.3,,21,,25,,69,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-21,2013,1,21,,-15.5,,-19.6,,-17.6,,35.6,,0,,,M,,M,0.2,,18,,29,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-22,2013,1,22,,-15.3,,-23,,-19.2,,37.2,,0,,,M,,M,0.2,,18,,32,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-23,2013,1,23,,-22.3,,-27.2,,-24.8,,42.8,,0,,,M,,M,0.2,,18,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-24,2013,1,24,,-17,,-24,,-20.5,,38.5,,0,,,M,,M,0,,18,,27,,52,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-25,2013,1,25,,-14.6,,-20.6,,-17.6,,35.6,,0,,,M,,M,0,,17,,28,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-26,2013,1,26,,-11,,-21,,-16,,34,,0,,,M,,M,0,,17,,26,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-27,2013,1,27,,-10.7,,-18,,-14.4,,32.4,,0,,,M,,M,0,,17,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-28,2013,1,28,,-6.2,,-14.3,,-10.3,,28.3,,0,,,M,,M,3.2,,17,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-29,2013,1,29,,1.9,,-11,,-4.6,,22.6,,0,,,M,,M,2.2,,17,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-30,2013,1,30,,7.9,,1.6,,4.8,,13.2,,0,,,M,,M,4.4,,15,,15,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-01-31,2013,1,31,,9.6,,-12,,-1.2,,19.2,,0,,,M,,M,11.5,,1,,25,,85,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-01,2013,2,1,,-11.7,,-15.3,,-13.5,,31.5,,0,,,M,,M,0,,,,29,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-02,2013,2,2,,-11.3,,-16.9,,-14.1,,32.1,,0,,,M,,M,1,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-03,2013,2,3,,-9,,-15.7,,-12.4,,30.4,,0,,,M,,M,0,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-04,2013,2,4,,-8,,-17.7,,-12.9,,30.9,,0,,,M,,M,0.4,,1,,27,,52,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-05,2013,2,5,,-9.1,,-19.8,,-14.5,,32.5,,0,,,M,,M,0.2,,1,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-06,2013,2,6,,-6.1,,-16,,-11.1,,29.1,,0,,,M,,M,0,,1,,28,,46,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-07,2013,2,7,,-15.5,,-20.6,,-18.1,,36.1,,0,,,M,,M,0.2,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-08,2013,2,8,,-10.8,,-17.1,,-14,,32,,0,,,M,,M,6.8,,,,4,,56,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-09,2013,2,9,,-6.6,,-17,,-11.8,,29.8,,0,,,M,,M,0,,6,,3,,46,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-10,2013,2,10,,-5.4,,-19,,-12.2,,30.2,,0,,,M,,M,0,,5,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-11,2013,2,11,,3.4,,-10.6,,-3.6,,21.6,,0,,0,,,M,2.6,,5,,22,,48,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-12,2013,2,12,,2.6,,-0.5,,1.1,,16.9,,0,,,M,,M,0.3,,6,,27,,50,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-13,2013,2,13,,0.7,,-1.9,,-0.6,,18.6,,0,,,M,,M,,M,3,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-14,2013,2,14,,1.6,,-1.8,,-0.1,,18.1,,0,,,M,,M,,M,3,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-15,2013,2,15,,3.8,,-3.4,,0.2,,17.8,,0,,,M,,M,1.6,,4,,24,,57,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-16,2013,2,16,,-3.4,,-11.3,,-7.4,,25.4,,0,,,M,,M,0,,2,,28,,37,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-17,2013,2,17,,-7.5,,-14.6,,-11.1,,29.1,,0,,,M,,M,0.2,,2,,29,,52,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-18,2013,2,18,,-7.8,,-15.9,,-11.9,,29.9,,0,,,M,,M,0,,2,,28,,52,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-19,2013,2,19,,0.1,,-11.4,,-5.7,,23.7,,0,,0,,,M,4.6,,2,,23,,37,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-20,2013,2,20,,-1.2,,-11.3,,-6.3,,24.3,,0,,,M,,M,2.1,,10,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-21,2013,2,21,,,M,-13.1,E,,M,,M,,M,,M,,M,0.6,,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-22,2013,2,22,,-0.1,,-6.8,,-3.5,,21.5,,0,,,M,,M,,M,2,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-23,2013,2,23,,1.5,,-2.9,,-0.7,,18.7,,0,,0,,,M,6.1,,2,,14,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-24,2013,2,24,,1.3,,0.2,,0.8,,17.2,,0,,,M,,M,1.2,,6,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-25,2013,2,25,,2.4,,-1.5,,0.5,,17.5,,0,,,M,,M,0.4,,6,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-26,2013,2,26,,3.7,,-1,,1.4,,16.6,,0,,,M,,M,0,,4,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-27,2013,2,27,,2.9,,0,,1.5,,16.5,,0,,0,,,M,12.7,,3,,6,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-02-28,2013,2,28,,1.9,,-0.3,,0.8,,17.2,,0,,,M,,M,0.7,,10,,5,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-01,2013,3,1,,1.6,,-1.5,,0.1,,17.9,,0,,0,,,M,1.4,,9,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-02,2013,3,2,,0.4,,-4.5,,-2.1,,20.1,,0,,0,,,M,2.2,,10,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-03,2013,3,3,,-1.4,,-5.2,,-3.3,,21.3,,0,,,M,,M,0.6,,14,,26,,39,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-04,2013,3,4,,-3.4,,-7.1,,-5.3,,23.3,,0,,,M,,M,1,,10,,28,,46,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-05,2013,3,5,,2.2,,-4.4,,-1.1,,19.1,,0,,,M,,M,0.2,,10,,5,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-06,2013,3,6,,3.9,,0.4,,2.2,,15.8,,0,,,M,,M,0,,9,,5,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-07,2013,3,7,,0.6,,-0.9,,-0.2,,18.2,,0,,,M,,M,0,,6,,4,,37,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-08,2013,3,8,,3.6,,-4.6,,-0.5,,18.5,,0,,,M,,M,0,,7,,2,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-09,2013,3,9,,5.8,,-6.3,,-0.3,,18.3,,0,,,M,,M,0,,7,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-10,2013,3,10,,8.7,,-2.3,,3.2,,14.8,,0,,,M,,M,0,,3,,15,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-11,2013,3,11,,7.5,,2.8,,5.2,,12.8,,0,,,M,,M,0.7,,1,,14,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-12,2013,3,12,,7.5,,2.1,,4.8,,13.2,,0,,,M,,M,13.6,,1,,15,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-13,2013,3,13,,5.1,,0.1,,2.6,,15.4,,0,,,M,,M,0,,1,,25,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2013-03-14,2013,3,14,,0.1,,-9.1,,-4.5,,22.5,,0,,,M,,M,0.2,,,,28,,54,
