Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-01,2016,1,1,,0,,-4,,-2,,20,,0,,0,,1.2,,0.4,,18,,26,,52,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-02,2016,1,2,,0.4,,-4.5,,-2.1,,20.1,,0,,0,,1,,1,,18,,23,,52,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-03,2016,1,3,,0.2,,-14.4,,-7.1,,25.1,,0,,0.2,,4.8,,5.4,,17,,36,,41,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-04,2016,1,4,,-12.9,,-20.1,,-16.5,,34.5,,0,,0,,0,T,0,T,16,,34,,35,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-05,2016,1,5,,-6.3,,-21.2,,-13.8,,31.8,,0,,0,,0,,0,,15,,23,,41,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-06,2016,1,6,,-0.3,,-11.3,,-5.8,,23.8,,0,,0,,0,,0,,15,,23,,39,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-07,2016,1,7,,-0.4,,-8.7,,-4.6,,22.6,,0,,0,,0,,0,,15,,,,<31,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-08,2016,1,8,,2.7,,-8.6,,-3,,21,,0,,0,,0,,0,,15,,10,,32,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-09,2016,1,9,,4.3,,1.6,,3,,15,,0,,2.6,,0.8,,3.4,,15,,15,,43,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-10,2016,1,10,,7.7,,-0.9,,3.4,,14.6,,0,,9.2,,0,T,9.2,,7,,23,,93,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-11,2016,1,11,,-0.9,,-11.7,,-6.3,,24.3,,0,,0,,0,T,0,T,2,,23,,95,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-12,2016,1,12,,-3,,-11.4,,-7.2,,25.2,,0,,0,,4.8,,3.2,,2,,14,,57,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-13,2016,1,13,,-4.1,,-14,,-9.1,,27.1,,0,,0,,0,T,0,T,3,,25,,63,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-14,2016,1,14,,-9.7,,-14.7,,-12.2,,30.2,,0,,0.2,,1.6,,0.8,,3,,,,<31,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-15,2016,1,15,,-8.3,,-13.8,,-11.1,,29.1,,0,,,M,0,T,,M,3,,3,,50,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-16,2016,1,16,,-1.8,,-9,,-5.4,,23.4,,0,,0,,1,,1,,3,,27,,46,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-17,2016,1,17,,-4.7,,-11.4,,-8.1,,26.1,,0,,0,,0.2,,0.2,,3,,26,,37,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-18,2016,1,18,,-7.4,,-14.7,,-11.1,,29.1,,0,,0,,7.6,,6.6,,8,,26,,54,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-19,2016,1,19,,-9.1,,-16.4,,-12.8,,30.8,,0,,0,,0.4,,0.4,,3,,26,,65,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-20,2016,1,20,,-4.4,,-12.2,,-8.3,,26.3,,0,,0,,0,T,0,T,3,,27,,44,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-21,2016,1,21,,-6.8,,-15.5,,-11.2,,29.2,,0,,0,,0,,0,,3,,26,,39,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-22,2016,1,22,,-3.2,,-10.4,,-6.8,,24.8,,0,,0,,0,,0,,3,,,,<31,
-73.74,45.47,MONTREAL INTL A,7025251,2016-01-23,2016,1,23,,-8.8,,-13.8,,-11.3,,29.3,,0,,0,,0,,0,,2,,3,,37,
