Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-01,2004,1,1,,0.7,,-8.3,,-3.8,,21.8,,0,,,M,,M,0,,10,,28,,48,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-02,2004,1,2,,-6.1,,-10,,-8.1,,26.1,,0,,,M,,M,1.4,,11,,5,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-03,2004,1,3,,6.3,,-7.3,,-0.5,,18.5,,0,,,M,,M,6.8,,12,,28,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-04,2004,1,4,,5.7,,-6.8,,-0.6,,18.6,,0,,,M,,M,0,,11,,27,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-05,2004,1,5,,-6.7,,-10.7,,-8.7,,26.7,,0,,,M,,M,2.6,,11,,5,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-06,2004,1,6,,-9,,-14.3,,-11.7,,29.7,,0,,,M,,M,0,,12,,25,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-07,2004,1,7,,-10.8,,-23,,-16.9,,34.9,,0,,,M,,M,1.2,,12,,27,,65,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-08,2004,1,8,,-21.2,,-25.2,,-23.2,,41.2,,0,,,M,,M,0,,11,,27,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-09,2004,1,9,,-20.7,,-27.2,,-24,,42,,0,,,M,,M,0,,11,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-10,2004,1,10,,-19.6,,-25.6,,-22.6,,40.6,,0,,,M,,M,0,,11,,27,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-11,2004,1,11,,-11.7,,-22.7,,-17.2,,35.2,,0,,,M,,M,2.6,,11,,16,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-12,2004,1,12,,-12.2,,-16.5,,-14.4,,32.4,,0,,,M,,M,3.2,,16,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-13,2004,1,13,,-9.4,,-27,,-18.2,,36.2,,0,,,M,,M,,M,17,,30,,57,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-14,2004,1,14,,-23.9,,-28.5,,-26.2,,44.2,,0,,,M,,M,0,,10,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-15,2004,1,15,,-24,,-29.4,,-26.7,,44.7,,0,,,M,,M,1.2,,10,,28,,50,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-16,2004,1,16,,-14.1,,-25,,-19.6,,37.6,,0,,,M,,M,1,,10,,27,,54,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2004-01-17,2004,1,17,,-11.4,,-17.9,,-14.7,,32.7,,0,,,M,,M,0,,10,,26,,44,
