Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-01,2003,1,1,,2.2,,-10,,-3.9,,21.9,,0,,,M,,M,0,,,,3,,48,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-02,2003,1,2,,-7.7,,-12,,-9.9,,27.9,,0,,,M,,M,0,,,,3,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-03,2003,1,3,,-2.4,,-8.3,,-5.4,,23.4,,0,,,M,,M,0,,,,5,,37,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-04,2003,1,4,,-3.7,,-5.8,,-4.8,,22.8,,0,,,M,,M,4.1,,,,3,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-05,2003,1,5,,-1.7,,-7.5,,-4.6,,22.6,,0,,,M,,M,0,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-06,2003,1,6,,-1.7,,-8.5,,-5.1,,23.1,,0,,,M,,M,0,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-07,2003,1,7,,-5.9,,-12.9,,-9.4,,27.4,,0,,,M,,M,1.5,,,,26,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-08,2003,1,8,,-1.3,,-9.6,,-5.5,,23.5,,0,,,M,,M,3.2,,,,29,,46,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-09,2003,1,9,,-9.6,,-15.6,,-12.6,,30.6,,0,,,M,,M,,M,,,3,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-10,2003,1,10,,-9.5,,-17.9,,-13.7,,31.7,,0,,,M,,M,0,,,,25,,37,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-11,2003,1,11,,-11,,-19.1,,-15.1,,33.1,,0,,,M,,M,0,,,,26,,39,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-12,2003,1,12,,-6.5,,-11.7,,-9.1,,27.1,,0,,,M,,M,1,,,,27,,48,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-13,2003,1,13,,-2.7,,-14.2,,-8.5,,26.5,,0,,,M,,M,2.2,,,,24,,63,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-14,2003,1,14,,-14.2,,-22,,-18.1,,36.1,,0,,,M,,M,0,,,,25,,37,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-15,2003,1,15,,-12.4,,-23.1,,-17.8,,35.8,,0,,,M,,M,0,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-16,2003,1,16,,-10.5,,-19.9,,-15.2,,33.2,,0,,,M,,M,0,,,,28,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-17,2003,1,17,,-12.5,,-22.7,,-17.6,,35.6,,0,,,M,,M,0,,,,2,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-18,2003,1,18,,-11.7,,-25.2,,-18.5,,36.5,,0,,,M,,M,0,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2003-01-19,2003,1,19,,-5.9,,-18.7,,-12.3,,30.3,,0,,,M,,M,1.2,,,,,,<31,
