Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-01,2008,1,1,,-2.2,,-7,,-4.6,,22.6,,0,,0,,,M,9.4,,15,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-02,2008,1,2,,-6.9,,-21.3,,-14.1,,32.1,,0,,,M,,M,0,,29,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-03,2008,1,3,,-14.1,,-24.9,,-19.5,,37.5,,0,,,M,,M,0,,24,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-04,2008,1,4,,-1.5,,-14.1,,-7.8,,25.8,,0,,0,,,M,0.3,,25,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-05,2008,1,5,,0.8,,-4.1,,-1.7,,19.7,,0,,,M,,M,0,,24,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-06,2008,1,6,,3.4,,-0.3,,1.6,,16.4,,0,,,M,,M,0,,23,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-07,2008,1,7,,6.1,,2.1,,4.1,,13.9,,0,,,M,,M,18.3,,17,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-08,2008,1,8,,9.9,,3.6,,6.8,,11.2,,0,,,M,,M,3.1,,8,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-09,2008,1,9,,11.5,,3.2,,7.4,,10.6,,0,,,M,,M,1,,3,,27,,87,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-10,2008,1,10,,3.3,,-1.3,,1,,17,,0,,,M,,M,0,,,,25,,63,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-11,2008,1,11,,5,,-1.2,,1.9,,16.1,,0,,0,,,M,22.6,,,,24,,50,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-12,2008,1,12,,3.5,,-4.3,,-0.4,,18.4,,0,,,M,,M,0.2,,,,24,,54,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-13,2008,1,13,,-3.5,,-7.6,,-5.6,,23.6,,0,,,M,,M,0,,,,5,,37,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-14,2008,1,14,,-4.2,,-7,,-5.6,,23.6,,0,,0,,,M,3.2,,,,5,,41,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-15,2008,1,15,,-3.2,,-11.2,,-7.2,,25.2,,0,,,M,,M,0,,5,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-16,2008,1,16,,-4.9,,-12.6,,-8.8,,26.8,,0,,,M,,M,0,,3,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-17,2008,1,17,,-0.7,,-12.8,,-6.8,,24.8,,0,,,M,,M,0,,3,,15,,39,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-18,2008,1,18,,3.9,,-5.4,,-0.8,,18.8,,0,,0,,,M,1.9,,8,,27,,69,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-19,2008,1,19,,-1.4,,-11.9,,-6.7,,24.7,,0,,,M,,M,0.4,,7,,25,,39,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-20,2008,1,20,,-11.8,,-19.7,,-15.8,,33.8,,0,,,M,,M,0,,7,,29,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-21,2008,1,21,,-8,,-20.8,,-14.4,,32.4,,0,,,M,,M,0.2,,7,,28,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-22,2008,1,22,,-5.3,,-11.5,,-8.4,,26.4,,0,,0,,,M,8.8,,10,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-23,2008,1,23,,-5.7,,-15.1,,-10.4,,28.4,,0,,,M,,M,0,,19,,27,,54,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2008-01-24,2008,1,24,,-11,,-17.8,,-14.4,,32.4,,0,,,M,,M,0,,11,,,,<31,
